ID_Cliente,Satisfaccion,QuejasUltimos6M
C0001,Media,2
C0002,Baja,1
C0003,Alta,4
C0004,Media,1
C0005,Media,1
C0006,Baja,0
C0007,Alta,3
C0008,Alta,0
C0009,Alta,0
C0010,Media,1
C0011,Alta,1
C0012,Baja,1
C0013,Baja,1
C0014,Baja,1
C0015,Media,2
C0016,Media,2
C0017,Media,1
C0018,Baja,2
C0019,Media,3
C0020,Alta,2
C0021,Media,2
C0022,Alta,3
C0023,Media,1
C0024,Alta,1
C0025,Media,2
C0026,Baja,0
C0027,Media,0
C0028,Media,1
C0029,Alta,0
C0030,Media,1
C0031,Media,0
C0032,Alta,1
C0033,Media,1
C0034,Media,2
C0035,Media,0
C0036,Baja,0
C0037,Media,2
C0038,Media,1
C0039,Alta,2
C0040,Media,1
C0041,Media,1
C0042,Media,1
C0043,Alta,2
C0044,Alta,1
C0045,Media,0
C0046,Alta,0
C0047,Media,1
C0048,Media,0
C0049,Baja,4
C0050,Media,0
C0051,Media,3
C0052,Alta,1
C0053,Media,0
C0054,Alta,0
C0055,Media,4
C0056,Media,0
C0057,Media,0
C0058,Baja,1
C0059,Media,1
C0060,Baja,0
C0061,Media,0
C0062,Media,2
C0063,Alta,2
C0064,Baja,0
C0065,Baja,2
C0066,Media,1
C0067,Alta,3
C0068,Alta,0
C0069,Media,0
C0070,Media,0
C0071,Baja,0
C0072,Alta,2
C0073,Media,1
C0074,Media,0
C0075,Media,0
C0076,Baja,1
C0077,Alta,1
C0078,Baja,1
C0079,Media,0
C0080,Media,0
C0081,Alta,1
C0082,Alta,2
C0083,Media,1
C0084,Media,0
C0085,Alta,1
C0086,Baja,0
C0087,Media,0
C0088,Media,1
C0089,Alta,2
C0090,Media,0
C0091,Alta,0
C0092,Alta,4
C0093,Baja,0
C0094,Media,0
C0095,Media,1
C0096,Media,0
C0097,Media,1
C0098,Baja,2
C0099,Alta,1
C0100,Alta,1
C0101,Media,0
C0102,Media,1
C0103,Baja,1
C0104,Alta,2
C0105,Alta,1
C0106,Baja,0
C0107,Baja,2
C0108,Alta,1
C0109,Media,1
C0110,Baja,2
C0111,Media,2
C0112,Media,0
C0113,Media,2
C0114,Alta,4
C0115,Alta,3
C0116,Media,0
C0117,Alta,2
C0118,Media,1
C0119,Alta,1
C0120,Media,1
C0121,Alta,3
C0122,Alta,0
C0123,Baja,1
C0124,Alta,4
C0125,Alta,1
C0126,Alta,2
C0127,Baja,2
C0128,Alta,0
C0129,Alta,2
C0130,Media,3
C0131,Alta,0
C0132,Baja,2
C0133,Baja,2
C0134,Media,2
C0135,Media,2
C0136,Media,0
C0137,Baja,1
C0138,Alta,2
C0139,Baja,1
C0140,Baja,1
C0141,Baja,1
C0142,Media,1
C0143,Alta,2
C0144,Media,0
C0145,Alta,3
C0146,Baja,0
C0147,Media,2
C0148,Media,1
C0149,Media,0
C0150,Baja,2
C0151,Alta,0
C0152,Media,0
C0153,Alta,2
C0154,Media,0
C0155,Baja,1
C0156,Media,0
C0157,Baja,1
C0158,Alta,0
C0159,Media,3
C0160,Baja,0
