ID_Cliente,Edad,Ciudad,Segmento,FechaRegistro,CanalPreferido,TotalCompras,ValorTotalCompras,TicketPromedio,UltimaCompra,VisitasWebUltimoMes,TiempoPromedioSesionMin,FuenteWeb,Satisfaccion,QuejasUltimos6M
C0001,56,Cali,Medio,2024-08-02,App,1,587030.4,587030.4,2025-10-23,3,2.81,Anuncio pagado,Media,2
C0002,46,Cartagena,Básico,2024-08-22,App,1,74219.7,74219.7,2025-08-01,4,0.8,Redes sociales,Baja,1
C0003,32,Cartagena,Básico,2025-08-10,App,2,307306.9,153653.45,2025-10-23,4,5.64,Referido,Alta,4
C0004,60,Barranquilla,Medio,2024-01-09,Web,4,726085.8,181521.45,2025-12-19,6,1.96,Orgánico,Media,1
C0005,25,Cartagena,Medio,2024-03-14,Web,5,1674417.2,334883.44,2025-11-20,9,4.16,Email,Media,1
C0006,38,Medellín,Premium,2025-05-06,Web,10,2543980.0,254398.0,2025-12-30,7,0.74,Orgánico,Baja,0
C0007,56,Cali,Premium,2024-09-09,Web,9,2654952.4,294994.71,2025-11-24,5,3.94,Orgánico,Alta,3
C0008,36,Bogotá,Medio,2024-08-17,Teléfono,4,583146.6,145786.65,2025-12-08,6,3.31,Email,Alta,0
C0009,40,Medellín,Medio,2025-06-02,App,4,443697.85,110924.46,2025-12-08,5,5.04,Email,Alta,0
C0010,28,Cali,Medio,2024-06-22,Web,6,758844.45,126474.08,2025-08-15,6,2.92,Anuncio pagado,Media,1
C0011,28,Cartagena,Medio,2024-06-16,Tienda,1,639075.0,639075.0,2025-04-18,6,3.8,Redes sociales,Alta,1
C0012,41,Medellín,Medio,2024-06-18,Web,6,1310957.7,218492.95,2025-12-31,9,6.79,Redes sociales,Baja,1
C0013,53,Bogotá,Medio,2025-01-27,Web,2,229903.8,114951.9,2025-07-07,4,12.23,Redes sociales,Baja,1
C0014,57,Cali,Premium,2024-07-12,Tienda,7,2127793.6,303970.51,2025-11-20,7,14.07,Referido,Baja,1
C0015,41,Medellín,Básico,2025-05-31,Teléfono,3,1338682.45,446227.48,2025-08-31,5,15.66,Orgánico,Media,2
C0016,20,Barranquilla,Básico,2024-01-29,App,1,163150.15,163150.15,2025-01-20,5,3.62,Orgánico,Media,2
C0017,39,Cartagena,Básico,2024-06-13,Teléfono,4,1893746.0,473436.5,2025-11-28,7,4.16,Redes sociales,Media,1
C0018,19,Cartagena,Medio,2025-02-25,Web,3,401997.3,133999.1,2025-12-02,6,11.89,Email,Baja,2
C0019,41,Barranquilla,Básico,2024-12-04,App,5,1194522.6,238904.52,2025-09-15,8,8.47,Orgánico,Media,3
C0020,61,Cali,Medio,2025-05-10,Web,5,1466851.1,293370.22,2025-12-18,5,2.3,Referido,Alta,2
C0021,47,Medellín,Medio,2024-12-30,Teléfono,4,2198055.4,549513.85,2025-10-30,6,1.8599999999999999,Orgánico,Media,2
C0022,55,Cartagena,Básico,2024-12-07,Web,0,0.0,0.0,,6,0.5700000000000001,Anuncio pagado,Alta,3
C0023,19,Bogotá,Medio,2025-05-14,App,5,1028372.3,205674.46,2025-12-15,10,4.79,Orgánico,Media,1
C0024,38,Barranquilla,Básico,2025-05-25,Web,1,434998.8,434998.8,2025-10-01,5,8.85,Email,Alta,1
C0025,50,Cartagena,Básico,2024-11-22,App,2,183128.0,91564.0,2025-08-02,4,2.02,Referido,Media,2
C0026,29,Cartagena,Premium,2024-08-04,App,4,556180.6,139045.15,2025-12-26,3,2.09,Orgánico,Baja,0
C0027,39,Barranquilla,Básico,2024-10-27,App,3,295572.1,98524.03,2025-05-07,6,5.59,Referido,Media,0
C0028,61,Medellín,Básico,2024-05-11,App,2,296813.0,148406.5,2025-07-30,3,7.43,Redes sociales,Media,1
C0029,42,Barranquilla,Medio,2024-03-10,App,3,966491.8,322163.93,2025-11-28,4,4.3,Referido,Alta,0
C0030,66,Bogotá,Medio,2024-09-08,App,7,2943901.6,420557.37,2025-11-30,4,2.02,Email,Media,1
C0031,44,Cali,Básico,2025-02-18,Web,2,853492.25,426746.12,2025-10-11,5,3.12,Redes sociales,Media,0
C0032,59,Barranquilla,Medio,2025-03-20,App,6,1358739.3,226456.55,2025-11-30,7,2.79,Orgánico,Alta,1
C0033,45,Medellín,Básico,2024-06-30,App,1,1197256.0,1197256.0,2025-09-21,3,5.43,Redes sociales,Media,1
C0034,33,Medellín,Básico,2024-06-15,Teléfono,5,1505959.5,301191.9,2025-11-20,5,2.04,Orgánico,Media,2
C0035,32,Barranquilla,Medio,2024-03-31,Web,6,669861.25,111643.54,2025-11-12,5,1.26,Orgánico,Media,0
C0036,64,Bogotá,Medio,2025-06-14,Tienda,2,343144.0,171572.0,2025-11-20,4,0.59,Orgánico,Baja,0
C0037,61,Barranquilla,Medio,2024-02-08,App,6,1703484.05,283914.01,2025-12-16,7,2.33,Redes sociales,Media,2
C0038,20,Barranquilla,Medio,2024-05-05,App,5,1952828.95,390565.79,2025-12-11,9,6.93,Anuncio pagado,Media,1
C0039,54,Cartagena,Premium,2025-03-26,App,5,1911114.1,382222.82,2025-12-19,8,1.77,Orgánico,Alta,2
C0040,24,Bogotá,Medio,2024-06-21,App,5,2211750.2,442350.04,2025-12-30,7,0.87,Orgánico,Media,1
C0041,38,Bogotá,Básico,2024-08-07,App,0,0.0,0.0,,8,1.29,Email,Media,1
C0042,26,Cartagena,Medio,2024-02-27,App,5,870217.25,174043.45,2025-12-08,7,1.6,Orgánico,Media,1
C0043,56,Barranquilla,Básico,2025-04-20,App,1,48950.0,48950.0,2025-01-07,5,2.35,Orgánico,Alta,2
C0044,35,Medellín,Básico,2025-03-31,App,1,106110.0,106110.0,2025-07-25,10,1.16,Orgánico,Alta,1
C0045,21,Cartagena,Básico,2024-12-26,Web,5,1962228.0,392445.6,2025-10-14,5,6.29,Referido,Media,0
C0046,42,Cartagena,Básico,2024-01-01,App,3,1369712.8,456570.93,2025-09-20,4,1.45,Anuncio pagado,Alta,0
C0047,31,Bogotá,Premium,2025-01-21,Web,6,2007701.9,334616.98,2025-11-10,5,4.5,Redes sociales,Media,1
C0048,26,Medellín,Premium,2024-12-13,Web,10,2917362.5,291736.25,2025-12-26,4,2.3,Email,Media,0
C0049,43,Cartagena,Medio,2024-07-08,Tienda,3,239660.0,79886.67,2025-09-30,10,1.9,Redes sociales,Baja,4
C0050,19,Cali,Básico,2025-05-19,App,0,0.0,0.0,,5,5.93,Email,Media,0
C0051,37,Cali,Básico,2024-07-09,Tienda,2,347885.2,173942.6,2025-05-29,3,3.37,Email,Media,3
C0052,45,Cartagena,Básico,2025-05-22,Web,2,394641.8,197320.9,2025-09-15,5,8.09,Email,Alta,1
C0053,64,Cali,Básico,2025-01-03,App,2,184050.8,92025.4,2025-12-28,5,2.39,Orgánico,Media,0
C0054,24,Barranquilla,Medio,2025-02-12,Tienda,4,594405.7,148601.42,2025-10-29,10,1.43,Orgánico,Alta,0
