id_venta,fecha,zona,canal,categoria,producto,vendedor,tipo_cliente,unidades,precio_unitario,ventas,costo_estimado
1,2025-03-26,Oriente,Televentas,Accesorios,Soporte portátil,,Corporativo,17,67000,1139000.0,630000
2,2025-08-08,Norte,Televentas,Cuidado personal,Plancha cabello,Paola,minorista,15,114000,1710000.0,1136000
3,,Norte,Televentas,Hogar,Cafetera,Daniela,minorista,11,122000,1342000.0,943000
4,2025-05-01,Centro ,online,Hogar,Cafetera,Paola,Corporativo,11,186000,2046000.0,1318000
5,2025-08-20,Occidente,Tienda física,Oficina ,Agenda,Carlos,Corporativo,0,143000,0.0,0
6,2025-10-20,Centro,Distribuidor ,Hogar,Lámpara,Luis,Frecuente,12,190000,2280000.0,1383000
7,2025-03-31,SUR,Online,Tecnología,Audífonos,Ana,Frecuente,16,299000,4784000.0,3661000
8,2025-10-15,Occidente,Tienda física,Oficina ,Silla,Marta,Corporativo ,10,162000,1620000.0,1038000
9,2025-11-27,Occidente,Online,Oficina ,Silla,,Corporativo ,0,158000,0.0,0
10,2025-07-08,Centro,online,Oficina ,Escritorio,Marta,Corporativo,1,149000,149000.0,106000
11,2025-06-16,SUR,Online,hogar,Ventilador,Daniela,Corporativo,4,125000,500000.0,349000
12,2025-02-06,norte,Televentas,Oficina,Escritorio,Sergio,Corporativo,6,228000,1368000.0,816000
13,2025-01-24,SUR,Televentas,Tecnología,Tablet,Carlos,Nuevo,6,231000,1386000.0,1070000
14,2025-01-22,Sur,online,Accesorios,Soporte portátil,Ana,minorista,11,51000,561000.0,399000
15,2025-10-15,norte,Tienda física,Tecnologia,Audífonos,Luis,Corporativo ,14,207000,2898000.0,1643000
16,2025-08-18,SUR,Televentas,Oficina ,Agenda,Carlos,Corporativo,1,182000,182000.0,110000
17,2025-07-27,SUR,Distribuidor,Cuidado personal,Kit cuidado,Sergio,Corporativo,3,102000,306000.0,195000
18,2025-04-21,Centro ,Televentas,Accesorios,Mouse pad,Paola,Frecuente,13,73000,,738000
19,2025-06-10,Centro,Tienda física,Oficina,Silla,,Frecuente,13,185000,2405000.0,1383000
20,2025-12-27,Occidente,Tienda física,Tecnologia,Audífonos,Ana,Frecuente,17,327000,5559000.0,3254000
21,2025-04-13,SUR,Televentas,hogar,Lámpara,Paola,Nuevo,15,133000,1995000.0,1177000
22,2025-05-20,norte,Distribuidor ,Cuidado personal,Secador,Luis,Minorista,3,93000,279000.0,192000
23,2025-05-03,Occidente,Online,Oficina,Silla,Sergio,Frecuente,1,150000,150000.0,110000
24,2025-09-29,Oriente,Online,hogar,Organizador,Sergio,Minorista,3,187000,561000.0,405000
25,2025-04-07,norte,Online,Oficina ,Agenda,Marta,Corporativo,12,204000,2448000.0,1352000
26,2025-12-09,Occidente,Distribuidor,Cuidado personal,Masajeador,Ana,Corporativo,2,110000,220000.0,161000
27,2025-01-17,Oriente,Distribuidor ,Accesorios,Soporte portátil,Jorge,Corporativo ,17,52000,884000.0,531000
28,2025-06-30,norte,Televentas,Oficina,Silla,Sergio,Corporativo,15,233000,3495000.0,2468000
29,2025-11-28,SUR,Online,Hogar,Ventilador,Sergio,Corporativo ,0,139000,0.0,0
30,2025-07-12,Oriente,online,hogar,Lámpara,,Frecuente,15,186000,2790000.0,1767000
31,2025-07-27,Norte,Televentas,Tecnologia,Audífonos,Ana,Corporativo ,7,228000,1596000.0,1073000
32,2025-09-21,Centro ,Online,hogar,Organizador,Jorge,Frecuente,6,142000,852000.0,565000
