,num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehículo,tipo_persona,rango_edad,sexo,cod_lesividad,tipo_lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,tipo_vehiculo,lesividad
0,2021S000047,01/01/2021,11:38:00,CALL. JOSE BERGAMIN / CALL. FLORENCIO CANO CRISTOBAL,62,14,MORATALAZ,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,2.0,Ingreso inferior o igual a 24 horas,446.426.917,4.473.586.644,N,,,
1,2021S000142,04/01/2021,11:30:00,PLAZA. GRECIA / AVDA. ARCENTALES wanda farola 20,1,20,SAN BLAS-CANILLEJAS,Caída,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,14.0,Sin asistencia sanitaria,448.606.811,4.476.216.426,N,,,
2,2021S000142,04/01/2021,11:30:00,PLAZA. GRECIA / AVDA. ARCENTALES wanda farola 20,1,20,SAN BLAS-CANILLEJAS,Caída,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,14.0,Sin asistencia sanitaria,448.606.811,4.476.216.426,N,,,
3,2021S000142,04/01/2021,11:30:00,PLAZA. GRECIA / AVDA. ARCENTALES wanda farola 20,1,20,SAN BLAS-CANILLEJAS,Caída,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,14.0,Sin asistencia sanitaria,448.606.811,4.476.216.426,N,,,
4,2021S000142,04/01/2021,11:30:00,PLAZA. GRECIA / AVDA. ARCENTALES wanda farola 20,1,20,SAN BLAS-CANILLEJAS,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,6.0,Asistencia sanitaria inmediata en centro de salud o mutua,448.606.811,4.476.216.426,N,,,
5,2021S000204,05/01/2021,16:35:00,"PLAZA EMPERADOR V, Nº11",11,1,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,,,441.247.199,4.473.344.602,N,,,
6,2021S000225,04/01/2021,10:40:00,PASEO. PRADO / PLAZA. MURILLO,11,3,RETIRO,Alcance,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,7.0,Asistencia sanitaria sólo en el lugar del accidente,441.234.198,4.473.665.549,N,,,
7,2021S000391,11/01/2021,22:45:00,"CALL. MIGUEL SERVET, 13",13,1,CENTRO,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,1.0,Atención en urgencias sin posterior ingreso,440.481.239,4.473.121.778,N,,,
8,2021S000393,11/01/2021,14:15:00,"CALL. SAN DALMACIO, 39",39,17,VILLAVERDE,Choque contra obstáculo fijo,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 60 a 64 años,Mujer,1.0,Atención en urgencias sin posterior ingreso,440.732.694,4.465.853.989,N,,,
9,2021S000511,16/01/2021,18:50:00,"AVDA. CIUDAD DE BARCELONA, 144",144,3,RETIRO,Alcance,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,3.0,Ingreso superior a 24 horas,442.463.949,4.472.700.083,N,,,
10,2021S000669,17/01/2021,20:45:00,PASEO. SANTA MARIA DE LA CABEZA / PASEO. ESPERANZA,88,2,ARGANZUELA,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,1.0,Atención en urgencias sin posterior ingreso,440.409.841,4.472.166.890,N,,,
11,2021S000675,18/01/2021,22:42:00,"RONDA. VALENCIA, 5",5,2,ARGANZUELA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,1.0,Atención en urgencias sin posterior ingreso,440.509.269,4.472.989.719,N,,,
12,2021S000806,22/01/2021,23:25:00,"CALL. BRAVO MURILLO, 97",97,7,CHAMBERÍ,Caída,,Bicicleta,Conductor,De 25 a 29 años,Hombre,,,440.301.279,4.477.558.392,N,,,
13,2021S000853,23/01/2021,22:00:00,"CALL. SANTA ENGRACIA, 33",33,7,CHAMBERÍ,Colisión fronto-lateral,Nublado,Bicicleta EPAC (pedaleo asistido),Conductor,De 21 a 24 años,Hombre,7.0,Asistencia sanitaria sólo en el lugar del accidente,440.851.844,4.475.881.307,N,,,
14,2021S000898,24/01/2021,15:35:00,CALL. ALMIRANTE / PASEO. RECOLETOS,32,1,CENTRO,Colisión fronto-lateral,,Bicicleta,Conductor,De 30 a 34 años,Hombre,,,441.282.516,4.474.876.579,N,,,
15,2021S000931,24/01/2021,1:30:00,"PLAZA. CANOVAS DEL CASTILLO, 5",5,1,CENTRO,Atropello a persona,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,14.0,Sin asistencia sanitaria,441.181.483,4.474.109.006,N,,,
16,2021S000931,24/01/2021,1:30:00,"PLAZA. CANOVAS DEL CASTILLO, 5",5,1,CENTRO,Atropello a persona,Despejado,Bicicleta,Peatón,De 60 a 64 años,Mujer,7.0,Asistencia sanitaria sólo en el lugar del accidente,441.181.483,4.474.109.006,N,,,
17,2021S000933,23/01/2021,11:40:00,PASEO. YESERIAS / CALL. MELILLA,15A,2,ARGANZUELA,Colisión lateral,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,7.0,Asistencia sanitaria sólo en el lugar del accidente,439.662.096,4.472.355.812,N,,,
18,2021S000957,25/01/2021,19:20:00,CALL. JORGE JUAN / CALL. CASTELLO,39,4,SALAMANCA,Caída,Nublado,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,6.0,Asistencia sanitaria inmediata en centro de salud o mutua,442.176.214,4.475.010.498,N,,,
